well_id_96,coord2_384
A1,A2
A2,A4
A3,A6
A4,A8
A5,A10
A6,A12
A7,A14
A8,A16
A9,A18
A10,A20
A11,A22
A12,A24
B1,C2
B2,C4
B3,C6
B4,C8
B5,C10
B6,C12
B7,C14
B8,C16
B9,C18
B10,C20
B11,C22
B12,C24
C1,E2
C2,E4
C3,E6
C4,E8
C5,E10
C6,E12
C7,E14
C8,E16
C9,E18
C10,E20
C11,E22
C12,E24
D1,G2
D2,G4
D3,G6
D4,G8
D5,G10
D6,G12
D7,G14
D8,G16
D9,G18
D10,G20
D11,G22
D12,G24
E1,I2
E2,I4
E3,I6
E4,I8
E5,I10
E6,I12
E7,I14
E8,I16
E9,I18
E10,I20
E11,I22
E12,I24
F1,K2
F2,K4
F3,K6
F4,K8
F5,K10
F6,K12
F7,K14
F8,K16
F9,K18
F10,K20
F11,K22
F12,K24
G1,M2
G2,M4
G3,M6
G4,M8
G5,M10
G6,M12
G7,M14
G8,M16
G9,M18
G10,M20
G11,M22
G12,M24
H1,O2
H2,O4
H3,O6
H4,O8
H5,O10
H6,O12
H7,O14
H8,O16
H9,O18
H10,O20
H11,O22
H12,O24
