well_id_96,coord1_384
A1,A1
A2,A3
A3,A5
A4,A7
A5,A9
A6,A11
A7,A13
A8,A15
A9,A17
A10,A19
A11,A21
A12,A23
B1,C1
B2,C3
B3,C5
B4,C7
B5,C9
B6,C11
B7,C13
B8,C15
B9,C17
B10,C19
B11,C21
B12,C23
C1,E1
C2,E3
C3,E5
C4,E7
C5,E9
C6,E11
C7,E13
C8,E15
C9,E17
C10,E19
C11,E21
C12,E23
D1,G1
D2,G3
D3,G5
D4,G7
D5,G9
D6,G11
D7,G13
D8,G15
D9,G17
D10,G19
D11,G21
D12,G23
E1,I1
E2,I3
E3,I5
E4,I7
E5,I9
E6,I11
E7,I13
E8,I15
E9,I17
E10,I19
E11,I21
E12,I23
F1,K1
F2,K3
F3,K5
F4,K7
F5,K9
F6,K11
F7,K13
F8,K15
F9,K17
F10,K19
F11,K21
F12,K23
G1,M1
G2,M3
G3,M5
G4,M7
G5,M9
G6,M11
G7,M13
G8,M15
G9,M17
G10,M19
G11,M21
G12,M23
H1,O1
H2,O3
H3,O5
H4,O7
H5,O9
H6,O11
H7,O13
H8,O15
H9,O17
H10,O19
H11,O21
H12,O23
