well_id_96,coord4_384
A1,B02
A2,B04
A3,B06
A4,B08
A5,B10
A6,B12
A7,B14
A8,B16
A9,B18
A10,B20
A11,B22
A12,B24
B1,D02
B2,D04
B3,D06
B4,D08
B5,D10
B6,D12
B7,D14
B8,D16
B9,D18
B10,D20
B11,D22
B12,D24
C1,F02
C2,F04
C3,F06
C4,F08
C5,F10
C6,F12
C7,F14
C8,F16
C9,F18
C10,F20
C11,F22
C12,F24
D1,H02
D2,H04
D3,H06
D4,H08
D5,H10
D6,H12
D7,H14
D8,H16
D9,H18
D10,H20
D11,H22
D12,H24
E1,J02
E2,J04
E3,J06
E4,J08
E5,J10
E6,J12
E7,J14
E8,J16
E9,J18
E10,J20
E11,J22
E12,J24
F1,L02
F2,L04
F3,L06
F4,L08
F5,L10
F6,L12
F7,L14
F8,L16
F9,L18
F10,L20
F11,L22
F12,L24
G1,N02
G2,N04
G3,N06
G4,N08
G5,N10
G6,N12
G7,N14
G8,N16
G9,N18
G10,N20
G11,N22
G12,N24
H1,P02
H2,P04
H3,P06
H4,P08
H5,P10
H6,P12
H7,P14
H8,P16
H9,P18
H10,P20
H11,P22
H12,P24
